2001-01-27,2,It Wasn't Me,Shaggy Featuring Ricardo RikRok Ducent
2001-01-27,3,He Loves U Not,Dream
2001-01-27,4,Love Don't Cost A Thing,Jennifer Lopez
2001-01-27,5,If You're Gone,matchbox twenty
2001-01-27,6,Again,Lenny Kravitz
2001-01-27,7,Ms. Jackson,OutKast
2001-01-27,8,Case Of The Ex (Whatcha Gonna Do),Mya
2001-01-27,9,With Arms Wide Open,Creed
2001-01-27,10,The Way You Love Me,Faith Hill
2001-01-27,11,Stronger,Britney Spears
2001-01-27,12,This I Promise You,'N Sync
2001-01-27,13,Stutter,Joe Featuring Mystikal
2001-01-27,14,Kryptonite,3 Doors Down
2001-01-27,15,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-01-27,16,Don't Tell Me,Madonna
2001-01-27,17,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001-01-27,18,Crazy For This Girl,Evan And Jaron
2001-01-27,19,Danger (Been So Long),Mystikal Featuring Nivea
2001-01-27,20,I Wish,R. Kelly
2001-01-27,21,Beautiful Day,U2
2001-01-27,22,E.I.,Nelly
2001-01-27,23,Crazy,K-Ci & JoJo
2001-01-27,24,Angel,Shaggy Featuring Rayvon
2001-01-27,25,Dance With Me,Debelah Morgan
2001-01-27,26,Most Girls,Pink
2001-01-27,27,Liquid Dreams,O-Town
2001-01-27,28,I Hope You Dance,Lee Ann Womack With Sons Of The Desert
2001-01-27,29,Gotta Tell You,Samantha Mumba
2001-01-27,30,Hemorrhage (In My Hands),Fuel
2001-01-27,31,Shape Of My Heart,Backstreet Boys
2001-01-27,32,No More (Baby I'ma Do Right),3LW
2001-01-27,33,Promise,Jagged Edge
2001-01-27,34,What's Your Fantasy,Ludacris Featuring Shawna
2001-01-27,35,Bow Wow (That's My Name),Lil Bow Wow
2001-01-27,36,South Side,Moby Featuring Gwen Stefani
2001-01-27,37,Without You,Dixie Chicks
2001-01-27,38,My First Love,Avant Featuring Ketara Wyatt
2001-01-27,39,My Next Thirty Years,Tim McGraw
2001-01-27,40,My Everything,98 Degrees
2001-01-27,41,Just Friends (Sunny),Musiq Soulchild
2001-01-27,42,Born To Fly,Sara Evans
2001-01-27,43,Tell Her,Lonestar
2001-01-27,44,Pinch Me,Barenaked Ladies
2001-01-27,45,Butterfly,Crazy Town
2001-01-27,46,So In Love With Two,Mikaila
2001-01-27,47,Ashes By Now,Lee Ann Womack
2001-01-27,48,There Is No Arizona,Jamie O'Neal
2001-01-27,49,You Make Me Sick,Pink
2001-01-27,50,One Woman Man,Dave Hollister
2001-01-27,51,Burn,Jo Dee Messina
2001-01-27,52,Emotional,Carl Thomas
2001-01-27,53,Between Me And You,Ja Rule Featuring Christina Milian
2001-01-27,54,You Shouldn't Kiss Me Like This,Toby Keith
2001-01-27,55,But For The Grace Of God,Keith Urban
2001-01-27,56,It's Over Now,112
2001-01-27,57,Thank You,Dido
2001-01-27,58,Jaded,Aerosmith
2001-01-27,59,Babylon,David Gray
2001-01-27,60,I Lost It,Kenny Chesney
2001-01-27,61,Still On Your Side,BBMak
2001-01-27,62,Project Chick,Cash Money Millionaires
2001-01-27,63,Stranger In My House,Tamia
2001-01-27,64,We Danced,Brad Paisley
2001-01-27,65,Wild Horses,Garth Brooks
2001-01-27,66,Nobody Wants To Be Lonely,Ricky Martin With Christina Aguilera
2001-01-27,67,This Everyday Love,Rascal Flatts
2001-01-27,68,Southern Hospitality,Ludacris
2001-01-27,69,Mamacita,Public Announcement
2001-01-27,70,Just Another Day In Paradise,Phil Vassar
2001-01-27,71,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2001-01-27,72,Loser,3 Doors Down
2001-01-27,73,Could It Be,Jaheim
2001-01-27,74,One More Day,Diamond Rio
2001-01-27,75,By Your Side,Sade
2001-01-27,76,I Did It,Dave Matthews Band
2001-01-27,77,www.memory,Alan Jackson
2001-01-27,78,X,Xzibit
2001-01-27,79,Who I Am,Jessica Andrews
2001-01-27,80,911,Wyclef Jean Featuring Mary J. Blige
2001-01-27,81,Breathless,The Corrs
2001-01-27,82,Outside,Aaron Lewis Of Staind With Fred Durst
2001-01-27,83,A Good Day To Run,Darryl Worley
2001-01-27,84,After Party,Koffee Brown
2001-01-27,85,Meanwhile Back At The Ranch,The Clark Family Experience
